ds,y
2022-06-22,154.0621847389558
2022-06-23,166.20984499999997
2022-06-24,156.83349707602338
2022-06-25,158.84126829268294
2022-06-26,175.29403208556147
2022-06-27,159.08738916256158
2022-06-28,157.90947368421052
2022-06-29,174.56796315789475
2022-06-30,136.80921022727273
2022-07-01,185.0493519553073
2022-07-02,171.8788732394366
2022-07-03,180.8191
2022-07-04,187.7209315068493
2022-07-05,168.36104705882354
2022-07-06,168.06908241758242
2022-07-07,159.48012105263155
2022-07-08,187.52758857142857
2022-07-09,167.8834715909091
2022-07-10,155.24156923076922
2022-07-11,174.28802538071068
2022-07-12,158.86464563106796
2022-07-13,201.77110144927536
2022-07-14,152.54873513513513
2022-07-15,182.68872588832488
2022-07-16,143.97739655172413
2022-07-17,174.4271568627451
2022-07-18,161.69550672645738
2022-07-19,154.881769874477
2022-07-20,164.67875784753363
2022-07-21,168.82167592592592
2022-07-22,159.19122857142858
2022-07-23,162.8769009433962
2022-07-24,195.50264573991032
2022-07-25,176.2228793774319
2022-07-26,197.2517661870504
2022-07-27,158.4519652173913
2022-07-28,182.00870550161812
2022-07-29,185.05628888888887
2022-07-30,173.5860354330709
2022-07-31,183.4819748201439
2022-08-01,192.89427725856697
2022-08-02,198.56667450980393
2022-08-03,175.11210877192983
2022-08-04,166.79409056603774
2022-08-05,188.2865765124555
2022-08-06,179.92914869888477
2022-08-07,189.86540909090908
2022-08-08,186.60072392638037
2022-08-09,181.7120531561462
2022-08-10,183.9100468227425
2022-08-11,196.48986666666667
2022-08-12,188.38223897058825
2022-08-13,213.3980343347639
2022-08-14,176.44994074074071
2022-08-15,202.7069398280802
2022-08-16,183.91527409638553
2022-08-17,190.49546312684365
2022-08-18,189.47866212534055
2022-08-19,199.0771203438395
2022-08-20,209.6315943661972
2022-08-21,197.97123097826088
2022-08-22,208.11723724489795
2022-08-23,207.05371962616823
2022-08-24,197.17277118644063
2022-08-25,185.9655138121547
2022-08-26,210.91364603960395
2022-08-27,202.5770369458128
2022-08-28,201.85681236673776
2022-08-29,204.01094252873563
2022-08-30,189.368872
2022-08-31,204.41701075268816
2022-09-01,195.31583650190117
2022-09-02,187.80816544117647
2022-09-03,178.597
2022-09-04,213.49922067901232
2022-09-05,198.42888167388168
2022-09-06,206.73925818639796
2022-09-07,200.4074937238494
2022-09-08,202.97573166926676
2022-09-09,207.9034825783972
2022-09-10,200.440332278481
2022-09-11,212.4141407185629
2022-09-12,201.38051463790447
2022-09-13,251.04761793020455
2022-09-14,240.8274848954299
2022-09-15,238.36970127118644
2022-09-16,229.74434285714284
2022-09-17,244.08388967136148
2022-09-18,234.19964
2022-09-19,237.0242855711423
2022-09-20,228.94270018796993
2022-09-21,222.31900699300695
2022-09-22,246.41867864476387
2022-09-23,229.02414980916032
2022-09-24,244.59107894736843
2022-09-25,264.77690693739424
2022-09-26,235.516913155632
2022-09-27,238.26614742014743
2022-09-28,238.87412032520325
2022-09-29,229.8747427312775
2022-09-30,231.7607256880734
2022-10-01,248.7482120200334
2022-10-02,251.3032110799439
2022-10-03,247.4141750720461
2022-10-04,238.27215887156643
2022-10-05,247.9813004602235
2022-10-06,239.03159430331027
2022-10-07,254.73490165361184
2022-10-08,253.49832725892185
2022-10-09,256.6346606914213
2022-10-10,250.1356451612903
2022-10-11,295.7221384475715
2022-10-12,271.841312437811
2022-10-13,271.4235896708286
2022-10-14,281.9770680564071
2022-10-15,277.89963665187065
2022-10-16,279.3847850518276
2022-10-17,265.8113427033493
2022-10-18,267.9107336923998
2022-10-19,262.2253211159737
2022-10-20,265.01873405405405
2022-10-21,273.65758166189113
2022-10-22,273.4441179112858
2022-10-23,292.09793593970795
2022-10-24,261.4641025901473
2022-10-25,274.29239303733607
2022-10-26,270.24389264705883
2022-10-27,261.46370520833335
2022-10-28,272.7977076591154
2022-10-29,265.6955387131952
2022-10-30,284.58418434004477
2022-10-31,269.4409
2022-11-01,278.2983508403361
2022-11-02,281.4512719869707
2022-11-03,270.48139742647055
2022-11-04,273.140936501753
2022-11-05,282.83295035971224
2022-11-06,295.8596649674313
2022-11-07,268.1180344603381
2022-11-08,264.27187103724225
2022-11-09,263.70018640093787
2022-11-10,264.02455321129383
2022-11-11,263.13565114098157
2022-11-12,268.84761543209873
2022-11-13,281.765825846926
2022-11-14,267.0152912115194
2022-11-15,265.2611269802584
2022-11-16,264.4504858703396
2022-11-17,264.5537543092984
2022-11-18,262.1711063539057
2022-11-19,270.3423117583603
2022-11-20,271.9379697948635
2022-11-21,265.96132461985303
2022-11-22,252.2975800468215
2022-11-23,256.0896922665716
2022-11-24,250.84197854566168
2022-11-25,249.35464311457548
2022-11-26,256.4125461254613
2022-11-27,266.3674915083799
2022-11-28,253.03836966923237
2022-11-29,252.06552856683464
2022-11-30,247.6002568348094
2022-12-01,249.34483954451343
2022-12-02,240.2370361589404
2022-12-03,248.56597351642964
2022-12-04,255.13305850654348
2022-12-05,242.41455810899535
2022-12-06,238.71202178140803
2022-12-07,235.54435091065127
2022-12-08,232.69111345155284
2022-12-09,231.48301510514364
2022-12-10,239.4574832812352
2022-12-11,247.26447978614328
2022-12-12,236.42921598319083
2022-12-13,231.419231642914
2022-12-14,226.15872763434405
2022-12-15,223.5580934898105
2022-12-16,226.52876364306783
2022-12-17,231.0348881382106
2022-12-18,244.64191656852975
2022-12-19,227.0693658904497
2022-12-20,236.31374384179483
2022-12-21,249.7559319124589
2022-12-22,242.4489862410567
2022-12-23,241.2813786163522
2022-12-24,232.5126879115091
2022-12-25,217.6144723153024
2022-12-26,229.1590750868542
2022-12-27,230.85361133893787
2022-12-28,234.75852557356347
2022-12-29,237.25186425017768
2022-12-30,237.4592684691546
2022-12-31,246.75270913034905
2023-01-01,238.08739928463856
2023-01-02,245.8267814418922
2023-01-03,240.63535015658877
2023-01-04,235.85451083512865
2023-01-05,241.600778210622
2023-01-06,242.0622659454903
2023-01-07,234.69685937728403
2023-01-08,240.62263506753376
2023-01-09,234.14693929029505
2023-01-10,232.7903457347861
2023-01-11,233.3801024504692
2023-01-12,231.18632451253484
2023-01-13,228.37877858953337
2023-01-14,234.2101701269604
2023-01-15,238.05987213350943
2023-01-16,232.68045913895335
2023-01-17,232.07435527181784
2023-01-18,235.8611007318696
2023-01-19,230.3903989599885
2023-01-20,235.17243889412504
2023-01-21,234.8462305621536
2023-01-22,241.34603410929915
2023-01-23,240.98862209441648
2023-01-24,230.53407839388143
2023-01-25,226.52059174499388
2023-01-26,226.75041503934713
2023-01-27,230.62370729366603
2023-01-28,228.342390138564
2023-01-29,241.61745399406377
2023-01-30,232.16669205569207
2023-01-31,230.7842044688027
2023-02-01,239.23163844847113
2023-02-02,231.67343311491132
2023-02-03,232.39141327478467
2023-02-04,230.0298153547133
2023-02-05,230.2722553967328
2023-02-06,231.17840638297875
2023-02-07,226.25994468614044
2023-02-08,230.08927307692304
2023-02-09,228.8589023685731
2023-02-10,233.32779589270748
2023-02-11,225.9665508228461
2023-02-12,229.14973936727424
2023-02-13,229.33792193696513
2023-02-14,226.6349099799955
2023-02-15,234.5308109393579
2023-02-16,232.53683484767504
2023-02-17,232.0292030268418
2023-02-18,232.4063435521493
2023-02-19,238.6859968279144
2023-02-20,221.9715326460481
2023-02-21,229.71121338688084
2023-02-22,228.4687175824176
2023-02-23,233.55191881248103
2023-02-24,241.85011850865516
2023-02-25,235.1269507974211
2023-02-26,231.82069353070176
2023-02-27,225.85937257049
2023-02-28,229.320659650082
2023-03-01,227.22195637162588
2023-03-02,225.10359024390243
2023-03-03,220.37088557401813
2023-03-04,227.1012726180945
2023-03-05,236.63059648506152
2023-03-06,233.74052707581228
2023-03-07,231.14539185750635
2023-03-08,225.89096964725184
2023-03-09,229.59358927716613
2023-03-10,210.66843494038363
2023-03-11,222.84469847328245
2023-03-12,232.4727525722685
2023-03-13,223.3836002858504
2023-03-14,217.070781137878
2023-03-15,213.77355281882868
2023-03-16,219.52583693516695
2023-03-17,226.1610125925926
